File,Total Word Count,Total Characters,Average Word Length,Unique Word Count,Count without Stopword,Image Size,Image Shape (Width),Image Shape (Height),Image Shape (Color Depth),Image Mean R,Image Mean G,Image Mean B,Mean Color (Depth [0]),Image Std Dev R,Image Std Dev G,Image Std Dev B
MG_002.txt,2,7,3.5,2,2,30587760,3570,2856,3,180.3624636,229.7749513,238.7334395,0,43.70626633,48.82629077,47.98874708
MG_003.txt,0,0,na,0,0,28340955,3495,2703,3,113.8638806,167.5260519,187.1655919,0,61.22496159,70.13078358,77.16527317
MG_004.txt,37,200,5.41,25,29,27629310,3530,2609,3,175.6458643,232.4179857,237.2861632,0,45.71829119,53.00454958,58.62258155
MG_005.txt,493,2396,4.86,260,349,28562160,3490,2728,3,189.7879198,239.8914038,244.0773175,0,37.19003784,42.08124948,44.88756303
MG_006.txt,472,2296,4.86,218,310,27870825,3473,2675,3,180.3719422,229.1248675,235.3993268,0,47.16303921,55.04784614,54.96640252
MG_007.txt,620,5007,8.08,310,432,28302768,3489,2704,3,167.7158992,223.1646302,233.2889805,0,46.77010847,55.71925509,59.66250744
MG_008.txt,730,5694,7.8,344,512,28664664,3518,2716,3,170.7880794,224.9243413,238.3470784,0,42.48791943,47.21167784,48.17894134
MG_009.txt,805,5703,7.08,306,501,27969489,3501,2663,3,179.5823023,227.479641,232.9547889,0,49.69616521,55.72649223,58.39868763
MG_010.txt,0,0,na,0,0,27190998,3474,2609,3,183.3554957,231.4653085,237.2328191,0,44.43986649,49.72181971,49.69785209
MG_011.txt,209,1030,4.93,89,118,28392066,3513,2694,3,93.02943062,140.876383,159.6307642,0,56.03520742,67.62885059,85.2663868
MG_012.txt,127,621,4.89,65,77,27415440,3480,2626,3,163.6614818,222.0183938,237.7454378,0,41.08856617,50.59855721,53.25135127
MG_013.txt,227,1111,4.89,91,123,28380792,3509,2696,3,156.1480994,204.6646531,216.7126412,0,63.87187539,68.91318073,68.92443386
MG_014.txt,220,1066,4.85,82,131,26610699,3469,2557,3,172.6041629,218.7474219,224.5921608,0,51.34416347,59.99828232,63.31781428
MG_015.txt,3,10,3.33,2,2,29263200,3560,2740,3,160.3506445,214.3016589,227.2943953,0,54.66904535,60.12424734,64.53437973
MG_016.txt,140,669,4.78,59,83,26984712,3481,2584,3,119.3730417,177.9852529,201.634265,0,61.70138399,71.36744411,72.6376346
MG_017.txt,202,949,4.7,79,107,27954795,3515,2651,3,175.4096649,225.3279403,230.8461046,0,54.34308594,58.9456623,63.6977288
MG_018.txt,9,38,4.22,4,5,26904528,3472,2583,3,186.28519,230.8369574,233.9489962,0,48.76952532,51.05144249,51.37607457
MG_019.txt,157,743,4.73,44,96,28318884,3517,2684,3,115.6732002,176.3668454,202.6122864,0,61.40139685,66.13699507,69.11494584
MG_020.txt,54,264,4.89,26,30,27479907,3471,2639,3,157.5346087,212.3005137,224.6979455,0,54.41340469,63.62636088,61.90895627
MG_021.txt,228,1055,4.63,73,121,28326354,3514,2687,3,153.9523897,198.9777431,207.4608972,0,63.87034366,67.53561299,76.03023887
MG_022.txt,2,11,5.5,2,2,27498240,3472,2640,3,174.3998486,220.4266592,227.9048701,0,60.18786781,63.95001605,61.69396923
MG_023.txt,242,1134,4.69,95,146,28310832,3516,2684,3,137.6349263,190.4271827,203.8923959,0,62.02121664,68.06354678,71.52195797
MG_024.txt,85,450,5.29,41,54,27276942,3473,2618,3,171.1217701,225.8367058,230.7785158,0,47.88656733,55.0232452,59.32246903
MG_025.txt,125,592,4.74,52,70,28306152,3492,2702,3,169.3939844,220.515409,227.5838149,0,61.71613758,63.57181081,61.16960882
MG_026.txt,183,930,5.08,71,115,26953953,3473,2587,3,171.0822304,215.1491627,218.0925131,0,64.59531998,64.41511448,66.35889785
MG_027.txt,4,19,4.75,3,3,29194152,3562,2732,3,171.6970064,224.4618975,231.596825,0,49.97527595,55.60041956,59.56805978
MG_028.txt,149,763,5.12,56,90,27086778,3474,2599,3,97.75707155,179.1277999,194.996469,0,52.64661181,58.97368079,73.76592295
MG_029.txt,160,747,4.67,35,121,29161368,3558,2732,3,184.5880562,224.7116233,228.624984,0,58.60897558,63.62401468,63.86955838
MG_030.txt,144,656,4.56,58,70,27146691,3471,2607,3,181.2006067,223.0229329,222.9071283,0,56.61652031,60.94664888,67.48707048
MG_031.txt,8,36,4.5,5,5,29482560,3530,2784,3,157.9987822,208.2170653,222.3008559,0,65.38830859,72.48498094,68.29127896
MG_032.txt,94,443,4.71,39,53,27928497,3517,2647,3,119.6557593,170.3546188,195.9891561,0,62.9290264,70.98811387,66.11422475
MG_033.txt,113,562,4.97,54,67,29210544,3564,2732,3,181.9618617,222.3567143,224.2152386,0,58.85076,63.44409859,68.7229347
MG_034.txt,8,26,3.25,7,8,26724735,3473,2565,3,172.8301215,217.4645228,224.8611456,0,61.84264657,61.76386816,57.17026334
MG_035.txt,216,1033,4.78,74,122,29680992,3564,2776,3,102.260836,163.5150153,178.5486604,0,68.46975066,75.29478073,85.80252561
MG_036.txt,145,680,4.69,47,77,26546895,3477,2545,3,173.1120876,227.5936181,236.395218,0,44.54076231,51.60531646,52.64223664
MG_037.txt,56,305,5.45,22,37,28701090,3498,2735,3,177.3852817,221.5514914,228.3999361,0,61.17036652,63.55756106,62.27428018
MG_038.txt,8,44,5.5,5,7,25848030,3470,2483,3,178.3229113,223.6904202,228.0987104,0,57.4713441,61.25373956,56.27276784
MG_046.txt,2,10,5,2,2,27793968,3512,2638,3,181.2474472,223.6958495,229.9509841,0,60.5521492,65.61074383,60.60442021
MG_051.txt,8,8,1,6,8,28663824,3482,2744,3,172.776417,216.3355274,220.5123451,0,63.11411471,68.34303617,68.62118013
MG_054.txt,24,47,1.96,14,20,27157926,3446,2627,3,170.7630849,224.3498045,231.988476,0,50.64586218,54.70896512,53.30616223
MG_056.txt,130,659,5.07,49,74,28771200,3552,2700,3,183.0477403,224.056375,229.5446232,0,58.01801187,59.07399509,55.77932514
MG_058.txt,133,680,5.11,54,84,27312996,3446,2642,3,167.0691089,220.4331623,228.5297552,0,52.40836186,57.79102616,55.30109702
MG_059.txt,13,58,4.46,9,13,28317630,3509,2690,3,173.0228375,216.8137572,227.0486191,0,63.33847179,65.15738847,57.46386833
MG_060.txt,87,438,5.03,45,54,27986745,3527,2645,3,122.039059,177.2269081,190.3898585,0,61.07331159,64.04325445,68.7790856
MG_061.txt,108,511,4.73,44,62,28593708,3508,2717,3,160.5526925,215.4439109,226.3139225,0,55.50104419,61.94694522,60.32746619
MG_062.txt,128,599,4.68,50,60,27046260,3441,2620,3,152.4663363,205.5814308,218.4770339,0,65.82485844,70.01402538,70.92663279
MG_063.txt,5,24,4.8,3,3,28180440,3492,2690,3,179.2766797,223.2888225,231.8814878,0,58.00222046,60.77082306,56.98576052
MG_064.txt,191,885,4.63,46,100,27413760,3520,2596,3,146.1383509,187.219662,194.4528689,0,68.6350372,77.01111368,80.32706153
MG_065.txt,237,1093,4.61,54,126,28599669,3501,2723,3,156.822553,211.0810455,218.5010165,0,60.04603846,61.30370669,62.15450973
MG_066.txt,180,859,4.77,65,97,27191241,3509,2583,3,168.6526159,221.9018099,230.6487882,0,56.75301407,59.82543826,56.36161083
MG_067.txt,7,32,4.57,4,4,28194768,3486,2696,3,167.8527824,214.2642484,223.9661656,0,63.86747283,65.22974867,62.13126638
MG_068.txt,223,1050,4.71,47,108,26739645,3505,2543,3,166.6226382,202.2362262,201.5907523,0,54.8912942,58.23287098,61.2048346
MG_069.txt,236,1167,4.94,50,114,28071450,3498,2675,3,170.3662659,225.7514852,232.8469121,0,53.75367983,57.63456643,56.98639138
MG_070.txt,19,47,2.47,14,14,27192000,3520,2575,3,174.8528399,225.7540835,234.4193967,0,51.272845,57.8966316,56.01205887
MG_071.txt,189,893,4.72,68,103,28195710,3490,2693,3,133.1651094,183.4646322,205.3618053,0,61.58068826,64.70916583,65.71617312
MG_072.txt,151,656,4.34,51,70,27011175,3475,2591,3,191.1601306,234.3277541,238.0115771,0,46.92740533,48.89406663,46.84094837
MG_073.txt,234,1106,4.73,93,120,28198758,3506,2681,3,159.5624104,211.8739058,223.8484896,0,56.6196857,63.06013966,59.90672088
MG_074.txt,8,33,4.13,3,4,26881335,3445,2601,3,177.8994263,230.8196003,237.3453373,0,44.92727055,48.88642347,48.91012736
MG_075.txt,124,572,4.61,47,66,28231950,3518,2675,3,129.3409882,172.8213352,182.0545631,0,67.90859302,76.33393119,82.21030066
MG_076.txt,119,573,4.82,44,65,27662298,3502,2633,3,179.1126564,222.8603812,230.1736886,0,57.06985499,61.97555362,57.47642582
MG_077.txt,203,945,4.66,68,111,28373448,3512,2693,3,155.6546659,208.0188797,225.7242962,0,65.52860011,70.65644333,61.22991903
MG_078.txt,138,682,4.94,62,75,26948625,3475,2585,3,172.7515729,224.4699074,235.3974762,0,49.4474995,52.49806203,46.9350159
MG_079.txt,3,11,3.67,3,3,28236930,3499,2690,3,167.3488559,212.8295637,224.3621126,0,64.42876256,65.91546249,61.82609443
MG_080.txt,179,911,5.09,79,108,27292650,3475,2618,3,144.6568391,185.2148267,194.6251143,0,60.9039056,64.25741048,62.95852045
MG_081.txt,97,453,4.67,32,47,28103040,3485,2688,3,174.7692464,225.712381,232.0350499,0,50.05384635,56.50096013,56.19918517
MG_082.txt,2,15,7.5,2,2,27438600,3475,2632,3,175.9374034,219.0201261,223.2230098,0,62.53248405,66.4553248,67.75447621
MG_083.txt,238,1063,4.47,78,115,28193256,3549,2648,3,118.5292875,161.990035,174.0379346,0,63.4056616,72.56394193,78.18572675
MG_084.txt,122,571,4.68,49,57,28204512,3572,2632,3,170.9359016,220.9152945,225.9179302,0,56.73813765,67.31319883,70.17974344
MG_085.txt,130,622,4.78,46,60,28379484,3483,2716,3,178.5281575,219.7230942,225.8945933,0,62.10417667,65.75037817,63.10642845
MG_086.txt,1,8,8,1,1,28588896,3654,2608,3,179.0302609,220.4399142,224.7152606,0,65.0084953,72.16574554,71.41132416
MG_087.txt,203,986,4.86,92,111,25031154,3389,2462,3,135.9026039,189.2923066,202.8384625,0,64.31153914,62.47460062,59.47533883
MG_088.txt,197,932,4.73,90,110,30090750,3785,2650,3,156.9273066,205.8870228,214.3107586,0,65.17015697,79.68908448,81.00227669
MG_089.txt,217,1045,4.82,73,117,24722334,3354,2457,3,189.7350935,232.6680077,237.9649249,0,49.05854058,51.80987381,44.73931133
MG_090.txt,139,694,4.99,56,78,28451058,3673,2582,3,177.1746755,219.8140466,224.7382151,0,63.9786903,71.19210804,71.77124518
MG_091.txt,4,26,6.5,3,4,25669266,3386,2527,3,173.3246469,226.5479102,236.2034513,0,44.31774242,48.82081653,44.33933772
MG_092.txt,213,1251,5.87,41,152,29729136,3748,2644,3,104.8975026,151.9827586,161.7667796,0,63.33021,75.80528589,90.39740791
MG_093.txt,124,598,4.82,51,68,27802320,3484,2660,3,183.052158,225.3300604,230.0301536,0,54.76244716,56.90632264,55.35604071
MG_094.txt,138,630,4.57,48,69,27985467,3503,2663,3,166.5260099,210.8202001,223.1990217,0,69.48085767,74.25377832,66.07665548
